Time,Input,Output,Temperature,Drive
0,0,0,20,0.3
0.000226757,0.154617,0.0481376,23.4726,0.3
0.000453515,0.296936,0.0985374,29.8784,0.3
0.000680272,0.416303,0.146897,36.6298,0.3
0.000907029,0.505095,0.187201,42.5144,0.3
0.00113379,0.559608,0.214717,46.9273,0.3
0.00136054,0.580346,0.227362,49.6215,0.3
0.0015873,0.571643,0.225868,50.616,0.3
0.00181406,0.54072,0.213589,50.3559,0.3
0.00204082,0.496342,0.194915,49.3376,0.3
0.00226757,0.447314,0.173705,47.6922,0.3
0.00249433,0.401071,0.153418,45.6694,0.3
0.00272109,0.362602,0.13639,43.5499,0.3
0.00294785,0.333869,0.123534,41.5716,0.3
0.0031746,0.31381,0.114435,39.8801,0.3
0.00340136,0.29889,0.107686,38.5065,0.3
0.00362812,0.284072,0.101322,37.3714,0.3
0.00385488,0.264028,0.0932928,36.3125,0.3
0.00408163,0.234324,0.0819283,35.1265,0.3
0.00430839,0.192393,0.0663538,33.6184,0.3
0.00453515,0.13808,0.0467503,31.646,0.3
0.0047619,0.0736974,0.0243529,29.1529,0.3
0.00498866,0.00356312,0.00114237,26.1826,0.3
0.00521542,-0.0668557,-0.0210637,24.5326,0.3
0.00544218,-0.132035,-0.041973,25.4236,0.3
0.00566893,-0.187497,-0.0610514,27.8052,0.3
0.00589569,-0.230702,-0.0769912,30.316,0.3
0.00612245,-0.261551,-0.0890669,32.4317,0.3
0.00634921,-0.282386,-0.0976021,34.0212,0.3
0.00657596,-0.297492,-0.103911,35.1667,0.3
0.00680272,-0.312162,-0.109927,36.0729,0.3
0.00702948,-0.331514,-0.117689,36.997,0.3
0.00725624,-0.359285,-0.128839,38.1808,0.3
0.00748299,-0.396816,-0.144208,39.7888,0.3
0.00770975,-0.442458,-0.163497,41.8596,0.3
0.00793651,-0.491509,-0.185074,44.2798,0.3
0.00816326,-0.536736,-0.205955,46.7856,0.3
0.00839002,-0.569413,-0.222092,48.9941,0.3
0.00861678,-0.580701,-0.229031,50.4581,0.3
0.00884354,-0.563159,-0.222902,50.7693,0.3
0.00907029,-0.512116,-0.202079,50.0307,0.3
0.00929705,-0.426656,-0.166314,48.0388,0.3
0.00952381,-0.310063,-0.117879,44.5856,0.3
0.00975057,-0.169602,-0.0619213,39.6697,0.3
0.00997732,-0.0156761,-0.00540769,33.4899,0.3
0.0102041,0.139508,0.0463471,29.7373,0.3
0.0104308,0.283575,0.0957484,31.6054,0.3
0.0106576,0.405642,0.14344,36.8203,0.3
0.0108844,0.497727,0.184155,42.2784,0.3
0.0111111,0.555716,0.212804,46.6636,0.3
0.0113379,0.579695,0.226832,49.4662,0.3
